Player Lvl,Player ATK,Player DEF,Player HP,Player CRIT,Enemy Name,Enemy HP,Win Rate %,Avg Turns (Win),Avg Player HP Left (Win),Avg Enemy HP Left (Loss),Player Avg DMG/Turn,Enemy Avg DMG/Turn
5,123,69,271,0,Bandyta (Lvl 5),74,100.0,1.0,271.0,0,120.66,0.0
5,123,69,271,0,Wielki Pająk (Lvl 5),84,100.0,1.0,271.0,0,120.98,0.0
5,123,69,271,0,Nieumarły Żołnierz (Lvl 5),118,100.0,1.45,262.47,0,119.0,5.89
20,363,366,949,0,Ork Wojownik (Lvl 20),708,100.0,2.84,841.16,0,332.67,38.0
20,363,366,949,0,Zjawa (Lvl 20),668,100.0,2.48,851.2,0,334.55,39.43
20,363,366,949,0,Gargulec (Lvl 20),974,100.0,3.68,739.29,0,317.19,57.05
50,1567,1050,2720,0,Przeklęty Rycerz (Lvl 50),3511,100.0,3.0,2248.76,0,1354.98,156.97
50,1567,1050,2720,0,Ogr Miażdżyciel (Lvl 50),5490,100.0,4.89,1519.59,0,1299.66,245.68
50,1567,1050,2720,0,Mroczny Kultysta (Lvl 50),4923,100.0,4.04,1674.49,0,1332.64,258.66
75,3100,2536,6547,0,Ogr Miażdżyciel (Lvl 75),9516,100.0,4.01,4937.48,0,2631.81,401.38
75,3100,2536,6547,0,Mroczny Kultysta (Lvl 75),8546,100.0,3.87,4835.89,0,2688.99,442.15
75,3100,2536,6547,0,Golem Ziemi (Lvl 75),28689,0.0,0,6547,19896.31,1774.87,1561.37
90,3175,5453,14153,0,Mroczny Kultysta (Lvl 90),10992,100.0,4.79,11258.09,0,2649.43,604.37
90,3175,5453,14153,0,Golem Ziemi (Lvl 90),36841,0.0,0,14153,25553.03,1474.01,2005.24
90,3175,5453,14153,0,Smok Cienia (Lvl 90),49155,0.0,0,14153,41759.0,1226.13,2470.25
100,7081,6622,17288,0,Mroczny Kultysta (Lvl 100),12722,100.0,2.39,16050.78,0,6456.38,517.23
100,7081,6622,17288,0,Golem Ziemi (Lvl 100),42609,9.2,8.0,1171.22,1909.34,5115.81,2291.36
100,7081,6622,17288,0,Smok Cienia (Lvl 100),56846,0.0,0,17288,24902.53,4825.3,2858.55
