Item Name,Base Item,Modifier,Slot,Level Req,Rarity,ATK,DEF,HP,Value
Ostry Drewniana Pałka,Drewniana Pałka,Ostry,weapon,1,Zwykły,6,0,0,75
Ciężki Drewniana Pałka,Drewniana Pałka,Ciężki,weapon,1,Zwykły,12,0,0,75
Zabójczy Drewniana Pałka,Drewniana Pałka,Zabójczy,weapon,1,Zwykły,8,0,0,75
Krwawy Drewniana Pałka,Drewniana Pałka,Krwawy,weapon,1,Zwykły,6,0,20,75
Ognisty Drewniana Pałka,Drewniana Pałka,Ognisty,weapon,1,Zwykły,17,0,0,75
Lodowy Drewniana Pałka,Drewniana Pałka,Lodowy,weapon,1,Zwykły,6,10,0,75
Trujący Drewniana Pałka,Drewniana Pałka,Trujący,weapon,1,Zwykły,7,0,-10,75
Potężny Drewniana Pałka,Drewniana Pałka,Potężny,weapon,1,Zwykły,9,0,0,75
Lekki Drewniana Pałka,Drewniana Pałka,Lekki,weapon,1,Zwykły,5,5,0,75
Szybki Drewniana Pałka,Drewniana Pałka,Szybki,weapon,1,Zwykły,11,0,0,75
Wampiryczny Drewniana Pałka,Drewniana Pałka,Wampiryczny,weapon,1,Zwykły,6,0,50,75
Przeklęty Drewniana Pałka,Drewniana Pałka,Przeklęty,weapon,1,Zwykły,12,0,-50,75
Święty Drewniana Pałka,Drewniana Pałka,Święty,weapon,1,Zwykły,7,10,30,75
Mroczny Drewniana Pałka,Drewniana Pałka,Mroczny,weapon,1,Zwykły,7,-10,0,75
Starożytny Drewniana Pałka,Drewniana Pałka,Starożytny,weapon,1,Zwykły,28,0,0,75
Mistyczny Drewniana Pałka,Drewniana Pałka,Mistyczny,weapon,1,Zwykły,8,0,40,75
Magiczny Drewniana Pałka,Drewniana Pałka,Magiczny,weapon,1,Zwykły,21,0,0,75
Królewski Drewniana Pałka,Drewniana Pałka,Królewski,weapon,1,Zwykły,7,15,0,75
Demoniczny Drewniana Pałka,Drewniana Pałka,Demoniczny,weapon,1,Zwykły,9,-20,0,75
Boski Drewniana Pałka,Drewniana Pałka,Boski,weapon,1,Zwykły,10,20,100,75
Solidny Skórzana Przeszywanica,Skórzana Przeszywanica,Solidny,armor,1,Zwykły,0,6,21,300
Gruby Skórzana Przeszywanica,Skórzana Przeszywanica,Gruby,armor,1,Zwykły,0,7,41,300
Wzmocniony Skórzana Przeszywanica,Skórzana Przeszywanica,Wzmocniony,armor,1,Zwykły,0,7,21,300
Żelaznego Muru Skórzana Przeszywanica,Skórzana Przeszywanica,Żelaznego Muru,armor,1,Zwykły,0,18,21,300
Lekki Skórzana Przeszywanica,Skórzana Przeszywanica,Lekki,armor,1,Zwykły,5,5,21,300
Zręczny Skórzana Przeszywanica,Skórzana Przeszywanica,Zręczny,armor,1,Zwykły,10,6,21,300
Zdrowy Skórzana Przeszywanica,Skórzana Przeszywanica,Zdrowy,armor,1,Zwykły,0,6,75,300
Żywotny Skórzana Przeszywanica,Skórzana Przeszywanica,Żywotny,armor,1,Zwykły,0,6,129,300
Niezniszczalny Skórzana Przeszywanica,Skórzana Przeszywanica,Niezniszczalny,armor,1,Zwykły,0,9,71,300
Ochronny Skórzana Przeszywanica,Skórzana Przeszywanica,Ochronny,armor,1,Zwykły,0,6,51,300
Kolczasty Skórzana Przeszywanica,Skórzana Przeszywanica,Kolczasty,armor,1,Zwykły,15,6,21,300
Odbijający Skórzana Przeszywanica,Skórzana Przeszywanica,Odbijający,armor,1,Zwykły,20,7,21,300
Święty Skórzana Przeszywanica,Skórzana Przeszywanica,Święty,armor,1,Zwykły,0,7,171,300
Mroczny Skórzana Przeszywanica,Skórzana Przeszywanica,Mroczny,armor,1,Zwykły,0,8,1,300
Starożytny Skórzana Przeszywanica,Skórzana Przeszywanica,Starożytny,armor,1,Zwykły,0,33,21,300
Zapomniany Skórzana Przeszywanica,Skórzana Przeszywanica,Zapomniany,armor,1,Zwykły,0,22,61,300
Królewski Skórzana Przeszywanica,Skórzana Przeszywanica,Królewski,armor,1,Zwykły,10,7,21,300
Tytanowy Skórzana Przeszywanica,Skórzana Przeszywanica,Tytanowy,armor,1,Zwykły,0,9,221,300
Demoniczny Skórzana Przeszywanica,Skórzana Przeszywanica,Demoniczny,armor,1,Zwykły,30,9,-29,300
Boski Skórzana Przeszywanica,Skórzana Przeszywanica,Boski,armor,1,Zwykły,20,10,321,300
Solidny Skórzany Hełm,Skórzany Hełm,Solidny,helmet,1,Zwykły,0,4,11,225
Gruby Skórzany Hełm,Skórzany Hełm,Gruby,helmet,1,Zwykły,0,4,31,225
Wzmocniony Skórzany Hełm,Skórzany Hełm,Wzmocniony,helmet,1,Zwykły,0,5,11,225
Żelaznego Muru Skórzany Hełm,Skórzany Hełm,Żelaznego Muru,helmet,1,Zwykły,0,15,11,225
Lekki Skórzany Hełm,Skórzany Hełm,Lekki,helmet,1,Zwykły,5,3,11,225
Zręczny Skórzany Hełm,Skórzany Hełm,Zręczny,helmet,1,Zwykły,10,4,11,225
Zdrowy Skórzany Hełm,Skórzany Hełm,Zdrowy,helmet,1,Zwykły,0,4,63,225
Żywotny Skórzany Hełm,Skórzany Hełm,Żywotny,helmet,1,Zwykły,0,4,115,225
Niezniszczalny Skórzany Hełm,Skórzany Hełm,Niezniszczalny,helmet,1,Zwykły,0,6,61,225
Ochronny Skórzany Hełm,Skórzany Hełm,Ochronny,helmet,1,Zwykły,0,4,41,225
Kolczasty Skórzany Hełm,Skórzany Hełm,Kolczasty,helmet,1,Zwykły,15,4,11,225
Odbijający Skórzany Hełm,Skórzany Hełm,Odbijający,helmet,1,Zwykły,20,5,11,225
Święty Skórzany Hełm,Skórzany Hełm,Święty,helmet,1,Zwykły,0,5,161,225
Mroczny Skórzany Hełm,Skórzany Hełm,Mroczny,helmet,1,Zwykły,0,5,-9,225
Starożytny Skórzany Hełm,Skórzany Hełm,Starożytny,helmet,1,Zwykły,0,30,11,225
Zapomniany Skórzany Hełm,Skórzany Hełm,Zapomniany,helmet,1,Zwykły,0,19,51,225
Królewski Skórzany Hełm,Skórzany Hełm,Królewski,helmet,1,Zwykły,10,5,11,225
Tytanowy Skórzany Hełm,Skórzany Hełm,Tytanowy,helmet,1,Zwykły,0,6,211,225
Demoniczny Skórzany Hełm,Skórzany Hełm,Demoniczny,helmet,1,Zwykły,30,6,-39,225
Boski Skórzany Hełm,Skórzany Hełm,Boski,helmet,1,Zwykły,20,7,311,225
Błyszczący Miedziany Pierścień,Miedziany Pierścień,Błyszczący,accessory,1,Zwykły,3,4,12,375
Cenny Miedziany Pierścień,Miedziany Pierścień,Cenny,accessory,1,Zwykły,8,9,13,375
Szczęśliwy Miedziany Pierścień,Miedziany Pierścień,Szczęśliwy,accessory,1,Zwykły,3,4,11,375
Wojownika Miedziany Pierścień,Miedziany Pierścień,Wojownika,accessory,1,Zwykły,18,4,11,375
Strażnika Miedziany Pierścień,Miedziany Pierścień,Strażnika,accessory,1,Zwykły,3,20,11,375
Życia Miedziany Pierścień,Miedziany Pierścień,Życia,accessory,1,Zwykły,3,4,116,375
