level,exp_required,avg_exp_per_kill,kills_needed,effective_fights_needed,win_rate_pct,avg_turns_per_fight,avg_fight_time_sec,level_time_sec,level_time_min,level_time_hours,cumulative_kills,cumulative_time_min,cumulative_time_hours,player_atk,player_def,player_hp
1,70,9.7,8,8.0,100.0,1.14,3.13,25.1,0.42,0.007,8,0.42,0.01,44,24,163
2,264,12.2,22,22.0,100.0,1.28,3.21,70.6,1.18,0.02,30,1.59,0.03,51,26,173
3,576,18.3,32,32.0,100.0,1.68,3.42,109.5,1.82,0.03,62,3.42,0.06,58,28,183
4,1002,21.9,46,46.0,100.0,2.06,3.62,166.7,2.78,0.046,108,6.2,0.1,65,30,193
5,1538,26.8,58,58.0,100.0,1.08,3.1,179.8,3.0,0.05,166,9.19,0.15,133,73,271
6,2183,30.8,71,71.0,100.0,1.16,3.14,223.2,3.72,0.062,237,12.91,0.22,142,75,281
7,2935,41.6,71,71.0,100.0,1.62,3.39,240.6,4.01,0.067,308,16.92,0.28,150,77,291
8,3793,44.8,85,85.0,100.0,1.52,3.34,283.5,4.73,0.079,393,21.65,0.36,161,116,366
9,4756,53.6,89,89.0,100.0,1.66,3.41,303.5,5.06,0.084,482,26.71,0.45,170,118,376
10,5822,66.9,88,88.0,100.0,1.96,3.57,314.2,5.24,0.087,570,31.95,0.53,180,120,386
11,6991,69.4,101,101.0,100.0,1.84,3.51,354.2,5.9,0.098,671,37.85,0.63,192,122,396
12,8262,80.4,103,103.0,100.0,2.2,3.7,381.0,6.35,0.106,774,44.2,0.74,203,124,406
13,9635,101.0,96,96.0,100.0,2.66,3.94,378.7,6.31,0.105,870,50.51,0.84,215,126,416
14,11108,106.7,105,105.0,100.0,2.84,4.04,424.3,7.07,0.118,975,57.58,0.96,226,128,426
15,12682,125.0,102,102.0,100.0,2.44,3.83,390.3,6.51,0.108,1077,64.09,1.07,287,266,691
16,14355,122.7,118,118.0,100.0,2.22,3.71,437.7,7.3,0.122,1195,71.38,1.19,301,268,701
17,16127,135.9,119,119.0,100.0,2.36,3.78,450.3,7.51,0.125,1314,78.89,1.31,314,270,711
18,17997,143.5,126,126.0,100.0,2.34,3.77,475.5,7.92,0.132,1440,86.81,1.45,331,272,721
19,19966,155.2,129,129.0,100.0,2.58,3.9,503.3,8.39,0.14,1569,95.2,1.59,345,274,731
20,22033,192.0,115,115.0,100.0,2.42,3.82,438.9,7.31,0.122,1684,102.51,1.71,525,385,949
21,24196,197.7,123,123.0,100.0,2.34,3.77,464.1,7.74,0.129,1807,110.25,1.84,542,387,959
22,26457,212.0,125,125.0,100.0,1.44,3.29,411.6,6.86,0.114,1932,117.11,1.95,845,389,969
23,28814,217.9,133,133.0,100.0,1.36,3.25,432.3,7.2,0.12,2065,124.32,2.07,868,391,979
24,31268,226.1,139,139.0,100.0,1.4,3.27,454.8,7.58,0.126,2204,131.89,2.2,896,393,989
25,33817,253.6,134,134.0,100.0,1.64,3.4,455.6,7.59,0.127,2338,139.49,2.32,925,395,999
26,36462,295.1,124,124.0,100.0,1.82,3.5,433.5,7.22,0.12,2462,146.71,2.45,949,397,1009
27,39202,298.8,132,132.0,100.0,1.86,3.52,464.3,7.74,0.129,2594,154.45,2.57,978,399,1019
28,42037,302.2,140,140.0,100.0,1.8,3.49,487.9,8.13,0.136,2734,162.58,2.71,1002,401,1029
29,44967,326.2,138,138.0,100.0,2.1,3.65,503.1,8.38,0.14,2872,170.97,2.85,1033,403,1039
30,47992,363.4,133,133.0,100.0,2.22,3.71,493.4,8.22,0.137,3005,179.19,2.99,1064,678,1632
31,51110,398.8,129,129.0,100.0,2.42,3.82,492.3,8.21,0.137,3134,187.39,3.12,1096,680,1642
32,54323,385.6,141,141.0,100.0,2.24,3.72,524.5,8.74,0.146,3275,196.14,3.27,1121,682,1652
33,57629,405.3,143,143.0,100.0,2.26,3.73,533.5,8.89,0.148,3418,205.03,3.42,1153,684,1662
34,61029,423.8,145,145.0,100.0,2.26,3.73,541.0,9.02,0.15,3563,214.04,3.57,1186,686,1672
35,64522,454.2,143,143.0,100.0,2.4,3.81,544.2,9.07,0.151,3706,223.11,3.72,1219,688,1682
36,68108,482.3,142,142.0,100.0,2.42,3.82,541.9,9.03,0.151,3848,232.15,3.87,1252,690,1692
37,71786,471.0,153,153.0,100.0,2.4,3.81,582.3,9.7,0.162,4001,241.85,4.03,1279,692,1702
38,75558,481.7,157,157.0,100.0,2.38,3.79,595.8,9.93,0.166,4158,251.78,4.2,1321,694,1712
39,79422,519.5,153,153.0,100.0,2.52,3.87,592.1,9.87,0.164,4311,261.65,4.36,1356,696,1722
40,83378,646.8,129,129.0,100.0,3.16,4.21,543.3,9.05,0.151,4440,270.7,4.51,1391,698,1732
41,87426,629.4,139,139.0,100.0,3.06,4.16,578.0,9.63,0.161,4579,280.34,4.67,1419,700,1742
42,91566,566.2,162,162.0,100.0,2.5,3.86,625.2,10.42,0.174,4741,290.76,4.85,1455,702,1752
43,95798,718.8,134,134.0,100.0,3.3,4.29,574.4,9.57,0.16,4875,300.33,5.01,1491,704,1762
44,100121,657.6,153,153.0,100.0,2.9,4.07,623.1,10.39,0.173,5028,310.71,5.18,1528,706,1772
45,104536,715.9,147,147.0,100.0,1.48,3.31,487.2,8.12,0.135,5175,318.83,5.31,3260,991,2435
46,109041,748.9,146,146.0,100.0,1.56,3.36,490.1,8.17,0.136,5321,327.0,5.45,3274,993,2445
47,113638,833.3,137,137.0,100.0,1.66,3.41,467.2,7.79,0.13,5458,334.79,5.58,3288,995,2455
48,118326,807.3,147,147.0,100.0,1.62,3.39,498.2,8.3,0.138,5605,343.09,5.72,3302,997,2465
49,123104,844.1,146,146.0,100.0,1.66,3.41,497.9,8.3,0.138,5751,351.39,5.86,3316,999,2475
50,127973,840.9,153,153.0,100.0,1.72,3.44,526.7,8.78,0.146,5904,360.17,6.0,3330,1099,2720
51,132932,864.4,154,154.0,100.0,1.74,3.45,531.8,8.86,0.148,6058,369.03,6.15,3344,1101,2730
52,137982,982.2,141,141.0,100.0,1.76,3.46,488.4,8.14,0.136,6199,377.17,6.29,3358,1103,2740
53,143122,991.2,145,145.0,100.0,1.76,3.46,502.3,8.37,0.14,6344,385.54,6.43,3372,1105,2750
54,148352,870.0,171,171.0,100.0,1.56,3.36,574.1,9.57,0.159,6515,395.11,6.59,3386,1107,2760
55,153671,962.1,160,160.0,100.0,1.78,3.47,555.9,9.27,0.154,6675,404.38,6.74,3400,1109,2770
56,159081,970.0,164,164.0,100.0,1.78,3.47,569.8,9.5,0.158,6839,413.87,6.9,3414,1111,2780
57,164580,1037.4,159,159.0,100.0,1.88,3.53,560.9,9.35,0.156,6998,423.22,7.05,3428,1113,2790
58,170168,1081.7,158,158.0,100.0,1.92,3.55,560.8,9.35,0.156,7156,432.57,7.21,3442,1115,2800
59,175846,1124.4,157,157.0,100.0,2.1,3.65,572.3,9.54,0.159,7313,442.11,7.37,3456,1117,2810
60,181613,1178.6,155,155.0,100.0,2.24,3.72,576.6,9.61,0.16,7468,451.72,7.53,3470,2156,5294
61,187469,1154.6,163,163.0,100.0,2.0,3.59,585.5,9.76,0.163,7631,461.48,7.69,3484,2158,5304
62,193414,1306.6,149,149.0,100.0,2.28,3.74,557.5,9.29,0.155,7780,470.77,7.85,3498,2160,5314
63,199449,1321.5,151,151.0,100.0,2.34,3.77,569.8,9.5,0.158,7931,480.26,8.0,3512,2162,5324
64,205571,1286.9,160,160.0,100.0,2.44,3.83,612.3,10.21,0.17,8091,490.47,8.17,3526,2164,5334
65,211783,1474.8,144,144.0,100.0,2.76,4.0,575.7,9.59,0.16,8235,500.06,8.33,3540,2166,5344
66,218083,1405.9,156,156.0,100.0,2.5,3.86,602.0,10.03,0.167,8391,510.1,8.5,3554,2168,5354
67,224471,1521.1,148,148.0,100.0,2.78,4.01,593.3,9.89,0.165,8539,519.99,8.67,3568,2170,5364
68,230948,1435.9,161,161.0,100.0,2.5,3.86,621.3,10.35,0.173,8700,530.34,8.84,3582,2172,5374
69,237513,1613.2,148,148.0,100.0,3.0,4.13,610.6,10.18,0.17,8848,540.52,9.01,3596,2174,5384
70,244166,1628.8,150,150.0,100.0,2.98,4.12,617.3,10.29,0.171,8998,550.81,9.18,3610,2176,5394
71,250907,1503.0,167,167.0,100.0,2.68,3.96,660.5,11.01,0.183,9165,561.81,9.36,3624,2178,5404
72,257736,1493.3,173,173.0,100.0,2.62,3.92,678.7,11.31,0.189,9338,573.13,9.55,3638,2180,5414
73,264653,1684.4,158,158.0,100.0,3.16,4.21,665.4,11.09,0.185,9496,584.22,9.74,3652,2182,5424
74,271658,1706.1,160,160.0,100.0,3.2,4.23,677.2,11.29,0.188,9656,595.5,9.93,3666,2184,5434
75,278750,1565.8,179,179.0,100.0,1.7,3.43,614.3,10.24,0.171,9835,605.74,10.1,6496,2610,6547
76,285930,1729.4,166,166.0,100.0,1.76,3.46,575.0,9.58,0.16,10001,615.33,10.26,6510,2612,6557
77,293197,1793.0,164,164.0,100.0,1.84,3.51,575.1,9.58,0.16,10165,624.91,10.42,6524,2614,6567
78,300552,1746.7,173,173.0,100.0,1.8,3.49,602.9,10.05,0.167,10338,634.96,10.58,6538,2616,6577
79,307993,1806.8,171,171.0,100.0,1.86,3.52,601.4,10.02,0.167,10509,644.98,10.75,6552,2618,6587
80,315522,2145.5,148,148.0,100.0,2.2,3.7,547.4,9.12,0.152,10657,654.11,10.9,6566,2620,6597
81,323138,2084.5,156,156.0,100.0,2.1,3.65,568.7,9.48,0.158,10813,663.58,11.06,6580,2622,6607
82,330841,2205.5,151,151.0,100.0,2.08,3.63,548.8,9.15,0.152,10964,672.73,11.21,6594,2624,6617
83,338631,2347.1,145,145.0,100.0,2.26,3.73,541.0,9.02,0.15,11109,681.75,11.36,6608,2626,6627
84,346508,2490.6,140,140.0,100.0,2.46,3.84,537.3,8.95,0.149,11249,690.7,11.51,6622,2628,6637
85,354472,2576.0,138,138.0,100.0,2.66,3.94,544.3,9.07,0.151,11387,699.77,11.66,6636,2630,6647
86,362522,2391.5,152,152.0,100.0,2.42,3.82,580.1,9.67,0.161,11539,709.44,11.82,6650,2632,6657
87,370659,2111.8,176,176.0,100.0,2.12,3.66,643.5,10.72,0.179,11715,720.17,12.0,6664,2634,6667
88,378882,2390.6,159,159.0,100.0,2.24,3.72,591.5,9.86,0.164,11874,730.03,12.17,6678,2636,6677
89,387192,2702.6,144,144.0,100.0,2.78,4.01,577.2,9.62,0.16,12018,739.65,12.33,6692,2638,6687
90,395588,2690.1,148,148.0,100.0,2.74,3.99,590.1,9.83,0.164,12166,749.48,12.49,6706,5542,14153
91,404070,2739.5,148,148.0,100.0,2.8,4.02,594.8,9.91,0.165,12314,759.4,12.66,6720,5544,14163
92,412639,2460.1,168,168.0,100.0,2.5,3.86,648.3,10.81,0.18,12482,770.2,12.84,6734,5546,14173
93,421294,2540.5,166,166.0,100.0,2.52,3.87,642.4,10.71,0.178,12648,780.91,13.02,6748,5548,14183
94,430034,2881.3,150,150.0,100.0,2.88,4.06,609.3,10.15,0.169,12798,791.06,13.18,6762,5550,14193
95,438861,3009.9,146,146.0,100.0,3.02,4.14,604.0,10.07,0.168,12944,801.13,13.35,6776,5552,14203
96,447773,2825.6,159,159.0,100.0,2.8,4.02,639.1,10.65,0.178,13103,811.78,13.53,6790,5554,14213
97,456772,2766.4,166,166.0,100.0,2.74,3.99,661.9,11.03,0.184,13269,822.81,13.71,6804,5556,14223
98,465856,2566.1,182,182.0,100.0,2.42,3.82,694.6,11.58,0.193,13451,834.39,13.91,6818,5558,14233
99,475026,2843.1,168,168.0,100.0,2.8,4.02,675.2,11.25,0.188,13619,845.64,14.09,6832,5560,14243
100,484281,2916.5,167,167.0,100.0,1.44,3.29,549.9,9.17,0.153,13786,854.8,14.25,14558,6721,17288
