Item ID,Name,Rarity,Upgrade Level,ATK,DEF,HP,Total Cumulative Cost (Gold),Gold per Stat Point
wep_wooden_club,Drewniana Pałka,Zwykły,0,6,0,0,0,0
wep_wooden_club,Drewniana Pałka,Zwykły,1,6,0,0,300,50.0
wep_wooden_club,Drewniana Pałka,Zwykły,2,6,0,0,870,145.0
wep_wooden_club,Drewniana Pałka,Zwykły,3,6,0,0,1953,325.5
wep_wooden_club,Drewniana Pałka,Zwykły,4,6,0,0,4010,668.33
wep_wooden_club,Drewniana Pałka,Zwykły,5,6,0,0,7919,1319.83
wep_wooden_club,Drewniana Pałka,Zwykły,6,6,0,0,15347,2557.83
wep_wooden_club,Drewniana Pałka,Zwykły,7,6,0,0,29460,4910.0
wep_wooden_club,Drewniana Pałka,Zwykły,8,6,0,0,56276,9379.33
wep_wooden_club,Drewniana Pałka,Zwykły,9,6,0,0,107226,17871.0
arm_leather,Skórzana Przeszywanica,Zwykły,0,0,6,21,0,0
arm_leather,Skórzana Przeszywanica,Zwykły,1,0,6,21,405,50.0
arm_leather,Skórzana Przeszywanica,Zwykły,2,0,6,21,1174,144.94
arm_leather,Skórzana Przeszywanica,Zwykły,3,0,6,21,2636,325.43
arm_leather,Skórzana Przeszywanica,Zwykły,4,0,6,21,5413,668.27
arm_leather,Skórzana Przeszywanica,Zwykły,5,0,6,21,10691,1319.88
arm_leather,Skórzana Przeszywanica,Zwykły,6,0,6,21,20719,2557.9
arm_leather,Skórzana Przeszywanica,Zwykły,7,0,6,21,39772,4910.12
arm_leather,Skórzana Przeszywanica,Zwykły,8,0,6,21,75973,9379.38
arm_leather,Skórzana Przeszywanica,Zwykły,9,0,6,21,144756,17871.11
helm_leather,Skórzany Hełm,Zwykły,0,0,4,11,0,0
helm_leather,Skórzany Hełm,Zwykły,1,0,4,11,254,49.8
helm_leather,Skórzany Hełm,Zwykły,2,0,4,11,738,144.71
helm_leather,Skórzany Hełm,Zwykły,3,0,4,11,1658,325.1
helm_leather,Skórzany Hełm,Zwykły,4,0,4,11,3407,668.04
helm_leather,Skórzany Hełm,Zwykły,5,0,4,11,6730,1319.61
helm_leather,Skórzany Hełm,Zwykły,6,0,4,11,13044,2557.65
helm_leather,Skórzany Hełm,Zwykły,7,0,4,11,25040,4909.8
helm_leather,Skórzany Hełm,Zwykły,8,0,4,11,47833,9379.02
helm_leather,Skórzany Hełm,Zwykły,9,0,4,11,91141,17870.78
acc_ring_small,Miedziany Pierścień,Zwykły,0,3,4,11,0,0
acc_ring_small,Miedziany Pierścień,Zwykły,1,3,4,11,405,50.0
acc_ring_small,Miedziany Pierścień,Zwykły,2,3,4,11,1174,144.94
acc_ring_small,Miedziany Pierścień,Zwykły,3,3,4,11,2636,325.43
acc_ring_small,Miedziany Pierścień,Zwykły,4,3,4,11,5413,668.27
acc_ring_small,Miedziany Pierścień,Zwykły,5,3,4,11,10691,1319.88
acc_ring_small,Miedziany Pierścień,Zwykły,6,3,4,11,20719,2557.9
acc_ring_small,Miedziany Pierścień,Zwykły,7,3,4,11,39772,4910.12
acc_ring_small,Miedziany Pierścień,Zwykły,8,3,4,11,75973,9379.38
acc_ring_small,Miedziany Pierścień,Zwykły,9,3,4,11,144756,17871.11
wep_iron_sword,Żelazny Miecz,Zwykły,0,16,0,0,0,0
wep_iron_sword,Żelazny Miecz,Zwykły,1,16,0,0,800,50.0
wep_iron_sword,Żelazny Miecz,Zwykły,2,16,0,0,2320,145.0
wep_iron_sword,Żelazny Miecz,Zwykły,3,16,0,0,5208,325.5
wep_iron_sword,Żelazny Miecz,Zwykły,4,16,0,0,10695,668.44
wep_iron_sword,Żelazny Miecz,Zwykły,5,16,0,0,21120,1320.0
wep_iron_sword,Żelazny Miecz,Zwykły,6,16,0,0,40928,2558.0
wep_iron_sword,Żelazny Miecz,Zwykły,7,16,0,0,78564,4910.25
wep_iron_sword,Żelazny Miecz,Zwykły,8,16,0,0,150073,9379.56
wep_iron_sword,Żelazny Miecz,Zwykły,9,16,0,0,285941,17871.31
arm_iron_plate,Żelazna Płytówka,Zwykły,0,0,15,34,0,0
arm_iron_plate,Żelazna Płytówka,Zwykły,1,0,15,34,919,49.95
arm_iron_plate,Żelazna Płytówka,Zwykły,2,0,15,34,2666,144.89
arm_iron_plate,Żelazna Płytówka,Zwykły,3,0,15,34,5987,325.38
arm_iron_plate,Żelazna Płytówka,Zwykły,4,0,15,34,12297,668.32
arm_iron_plate,Żelazna Płytówka,Zwykły,5,0,15,34,24286,1319.89
arm_iron_plate,Żelazna Płytówka,Zwykły,6,0,15,34,47066,2557.93
arm_iron_plate,Żelazna Płytówka,Zwykły,7,0,15,34,90348,4910.22
arm_iron_plate,Żelazna Płytówka,Zwykły,8,0,15,34,172584,9379.57
arm_iron_plate,Żelazna Płytówka,Zwykły,9,0,15,34,328832,17871.3
helm_iron,Żelazny Szyszak,Zwykły,0,0,11,22,0,0
helm_iron,Żelazny Szyszak,Zwykły,1,0,11,22,660,50.0
helm_iron,Żelazny Szyszak,Zwykły,2,0,11,22,1914,145.0
helm_iron,Żelazny Szyszak,Zwykły,3,0,11,22,4296,325.45
helm_iron,Żelazny Szyszak,Zwykły,4,0,11,22,8822,668.33
helm_iron,Żelazny Szyszak,Zwykły,5,0,11,22,17423,1319.92
helm_iron,Żelazny Szyszak,Zwykły,6,0,11,22,33765,2557.95
helm_iron,Żelazny Szyszak,Zwykły,7,0,11,22,64815,4910.23
helm_iron,Żelazny Szyszak,Zwykły,8,0,11,22,123810,9379.55
helm_iron,Żelazny Szyszak,Zwykły,9,0,11,22,235901,17871.29
acc_iron_ring,Żelazny Sygnet,Zwykły,0,11,11,22,0,0
acc_iron_ring,Żelazny Sygnet,Zwykły,1,11,11,22,1210,50.0
acc_iron_ring,Żelazny Sygnet,Zwykły,2,11,11,22,3509,145.0
acc_iron_ring,Żelazny Sygnet,Zwykły,3,11,11,22,7877,325.5
acc_iron_ring,Żelazny Sygnet,Zwykły,4,11,11,22,16176,668.43
acc_iron_ring,Żelazny Sygnet,Zwykły,5,11,11,22,31944,1320.0
acc_iron_ring,Żelazny Sygnet,Zwykły,6,11,11,22,61904,2558.02
acc_iron_ring,Żelazny Sygnet,Zwykły,7,11,11,22,118829,4910.29
acc_iron_ring,Żelazny Sygnet,Zwykły,8,11,11,22,226987,9379.63
acc_iron_ring,Żelazny Sygnet,Zwykły,9,11,11,22,432488,17871.4
wep_steel_sword,Stalowy Miecz Długi,Zwykły,0,63,0,0,0,0
wep_steel_sword,Stalowy Miecz Długi,Zwykły,1,63,0,0,3150,50.0
wep_steel_sword,Stalowy Miecz Długi,Zwykły,2,63,0,0,9135,145.0
wep_steel_sword,Stalowy Miecz Długi,Zwykły,3,63,0,0,20506,325.49
wep_steel_sword,Stalowy Miecz Długi,Zwykły,4,63,0,0,42111,668.43
wep_steel_sword,Stalowy Miecz Długi,Zwykły,5,63,0,0,83162,1320.03
wep_steel_sword,Stalowy Miecz Długi,Zwykły,6,63,0,0,161159,2558.08
wep_steel_sword,Stalowy Miecz Długi,Zwykły,7,63,0,0,309353,4910.37
wep_steel_sword,Stalowy Miecz Długi,Zwykły,8,63,0,0,590922,9379.71
wep_steel_sword,Stalowy Miecz Długi,Zwykły,9,63,0,0,1125904,17871.49
arm_steel_plate,Stalowy Kirys,Zwykły,0,0,55,107,0,0
arm_steel_plate,Stalowy Kirys,Zwykły,1,0,55,107,3285,50.0
arm_steel_plate,Stalowy Kirys,Zwykły,2,0,55,107,9526,144.99
arm_steel_plate,Stalowy Kirys,Zwykły,3,0,55,107,21384,325.48
arm_steel_plate,Stalowy Kirys,Zwykły,4,0,55,107,43915,668.42
arm_steel_plate,Stalowy Kirys,Zwykły,5,0,55,107,86725,1320.02
arm_steel_plate,Stalowy Kirys,Zwykły,6,0,55,107,168064,2558.05
arm_steel_plate,Stalowy Kirys,Zwykły,7,0,55,107,322609,4910.33
arm_steel_plate,Stalowy Kirys,Zwykły,8,0,55,107,616245,9379.68
arm_steel_plate,Stalowy Kirys,Zwykły,9,0,55,107,1174155,17871.46
helm_steel,Stalowa Przyłbica,Zwykły,0,0,41,76,0,0
helm_steel,Stalowa Przyłbica,Zwykły,1,0,41,76,2430,50.0
helm_steel,Stalowa Przyłbica,Zwykły,2,0,41,76,7047,145.0
helm_steel,Stalowa Przyłbica,Zwykły,3,0,41,76,15819,325.49
helm_steel,Stalowa Przyłbica,Zwykły,4,0,41,76,32486,668.44
helm_steel,Stalowa Przyłbica,Zwykły,5,0,41,76,64154,1320.04
helm_steel,Stalowa Przyłbica,Zwykły,6,0,41,76,124323,2558.09
helm_steel,Stalowa Przyłbica,Zwykły,7,0,41,76,238644,4910.37
